time,vid,cluster_head,distance_to_ch
40,4,NONE,255.00863671648455
40,5,8,36.03
40,6,8,93.06323011802245
40,7,19,41.54
40,8,8,0.0
40,9,9,0.0
41,0,19,196.96029346038253
41,1,NONE,293.9527718869138
41,10,10,0.0
41,11,11,0.0
41,12,NONE,382.7225973208271
41,13,NONE,296.11745997154577
41,14,19,144.23513302936982
41,15,10,73.99922229321064
41,16,11,81.93006102768386
41,17,9,97.25266063198475
41,18,10,233.40000000000003
41,19,19,0.0
41,2,NONE,309.601186367236
41,3,NONE,281.4806545750524
41,4,NONE,250.8344541724681
41,5,5,0.0
41,6,5,107.71190509874012
41,7,19,46.74000000000001
41,8,5,36.099999999999994
41,9,9,0.0
42,0,20,235.32105728132365
42,1,21,156.26276875826815
42,10,10,0.0
42,11,11,0.0
42,12,20,201.75
42,14,NONE,404.13019795605476
42,15,10,56.88008526716537
42,16,11,91.30000000000001
42,17,10,136.13
42,18,10,240.44000000000005
42,19,NONE,430.6648048076369
42,2,20,46.974861362222235
42,20,20,0.0
42,21,21,0.0
42,3,20,8.780000000000086
42,4,5,241.24521238772806
42,5,5,0.0
42,6,5,107.37855744980001
42,7,NONE,387.7046551177842
42,8,5,33.480000000000004
42,9,10,62.85151469932923
43,0,20,229.0296050732307
43,1,21,141.7561229718138
43,10,10,0.0
43,11,11,0.0
43,12,20,194.27999999999997
43,14,NONE,402.56707776468755
43,15,10,37.50675805771542
43,16,11,97.94999999999999
43,17,9,50.25199001034684
43,18,10,245.59999999999997
43,19,NONE,422.63290371195666
43,2,20,60.574886710583314
43,20,20,0.0
43,21,21,0.0
43,3,20,21.279999999999973
43,4,NONE,299.97606387843683
43,5,21,115.99000000000001
43,6,21,220.4764261774941
43,7,NONE,379.02905864854216
43,8,21,148.01
43,9,9,0.0
44,0,20,223.8577977198918
44,1,21,125.89067677949788
44,10,10,0.0
44,11,11,0.0
44,12,20,186.78999999999996
44,14,NONE,401.513547592108
44,15,10,16.140396525488462
44,16,11,104.03000000000003
44,17,9,26.752076554914396
44,18,10,248.32
44,19,NONE,414.3821311301925
44,2,20,74.77331208392472
44,20,20,0.0
44,21,21,0.0
44,22,NONE,279.3993736571362
44,3,20,32.31000000000006
44,4,NONE,293.2725287168916
44,5,21,107.75999999999999
44,6,21,221.1334474926848
44,7,NONE,371.13195995494647
44,8,21,139.38
44,9,9,0.0
45,0,20,219.94524409497924
45,1,21,109.06695374860347
45,10,10,0.0
45,11,9,207.4911142675753
45,12,20,179.29999999999995
45,14,NONE,400.89278816162306
45,15,10,8.320000000000023
45,16,9,206.8292631616716
45,17,9,4.839101156206621
45,18,10,248.75999999999993
45,19,NONE,405.30168516797465
45,2,20,88.96642063160684
45,20,20,0.0
45,21,21,0.0
45,22,NONE,277.5346039685862
45,3,20,41.31000000000006
45,4,5,220.48371005586785
45,5,5,0.0
45,6,5,123.76784275408536
45,7,NONE,364.3505181826973
45,8,5,30.66000000000001
45,9,9,0.0
46,0,20,216.56168543858357
46,1,21,90.48660066551288
46,10,15,34.31951194291669
46,11,15,207.98588028998506
46,12,20,171.15999999999997
46,14,NONE,400.48975018095035
46,15,15,0.0
46,16,NONE,260.7026522688252
46,17,15,93.92452768047333
46,18,NONE,281.4581915667049
46,19,NONE,396.28387867789934
46,2,20,103.90064196144317
46,20,20,0.0
46,21,21,0.0
46,22,NONE,276.1724144443105
46,23,NONE,412.2919203671108
46,3,20,49.65999999999997
46,4,8,199.48450766914206
46,5,5,0.0
46,6,8,104.77388987720175
46,7,NONE,358.75048557458433
46,8,8,0.0
46,9,15,113.99000000000001
47,0,20,214.2029178139271
47,1,21,69.27394892742872
47,10,15,57.758712762664665
47,11,15,208.75447875434912
47,12,20,164.9899999999999
47,14,NONE,393.4762508716378
47,15,15,0.0
47,16,NONE,262.4686665108809
47,17,15,72.75041168268397
47,18,NONE,302.0969486770762
47,19,NONE,388.60266416997194
47,2,20,118.48610762448058
47,20,20,0.0
47,21,21,0.0
47,22,NONE,274.6324891559628
47,23,NONE,402.8176213871483
47,3,20,56.150000000000034
47,4,8,194.69542598633385
47,5,5,0.0
47,6,8,117.62160728369595
47,7,NONE,355.28660332188156
47,8,8,0.0
47,9,15,116.63999999999999
48,0,24,190.977898197671
48,1,21,45.9515571009297
48,10,15,76.46698634051172
48,11,15,211.6790863547932
48,12,NONE,405.6932284374488
48,14,24,37.71947640145612
48,15,15,0.0
48,16,23,232.21046703368046
48,17,15,56.47073932577826
48,18,NONE,317.76611288808
48,19,24,222.60088252295856
48,2,NONE,263.089461780589
48,20,NONE,384.6806687370708
48,21,21,0.0
48,22,23,146.98483765341234
48,23,23,0.0
48,24,24,0.0
48,3,NONE,330.22155608015663
48,4,5,209.4424352895086
48,5,5,0.0
48,6,5,157.45423493828295
48,7,24,242.50798440463768
48,8,5,25.980000000000004
48,9,15,123.51999999999998
49,0,24,188.15929262196963
