time,vid,speed,degree,avg_neighbor_dist,rel_speed_avg,keep_ratio,stable_label
36.0,9,10.62,2,72.51000000000002,1.7850000000000001,1.0,1
37.0,10,11.02,2,62.224999999999994,0.5550000000000006,1.0,1
37.0,11,13.51,1,20.51115793903406,3.3599999999999994,1.0,1
37.0,14,13.76,1,92.64033948556101,5.16,0.0,0
37.0,15,12.05,3,104.04725101866165,4.180000000000001,0.6666666666666666,1
37.0,16,10.15,1,20.51115793903406,3.3599999999999994,1.0,1
37.0,18,1.49,1,82.94175305598502,10.56,0.0,0
37.0,2,12.76,1,32.02461553243072,0.7599999999999998,1.0,1
37.0,3,13.52,1,32.02461553243072,0.7599999999999998,1.0,1
37.0,5,9.37,2,79.68603535874276,6.0649999999999995,1.0,1
37.0,6,14.45,2,131.37720820910607,8.605,1.0,1
37.0,7,8.6,1,92.64033948556101,5.16,0.0,0
37.0,8,2.32,2,77.46117285036333,9.59,1.0,1
37.0,9,11.1,2,72.07500000000002,0.5150000000000006,1.0,1
38.0,10,10.38,2,61.485000000000014,1.6899999999999995,1.0,1
38.0,11,9.01,1,41.49357661132625,3.08,1.0,1
38.0,14,13.21,2,106.1173643074421,7.665000000000001,0.0,0
38.0,15,12.81,3,108.31713078785974,4.273333333333333,0.6666666666666666,1
38.0,16,12.09,1,41.49357661132625,3.08,1.0,1
38.0,18,3.9,1,99.65139236357916,8.91,0.0,0
38.0,19,0.0,2,63.78294192702091,12.15,0.5,1
38.0,2,13.38,1,16.787733617138386,4.360000000000001,1.0,1
38.0,3,9.02,1,16.787733617138386,4.360000000000001,1.0,1
38.0,5,10.46,2,77.80497927731828,4.24,1.0,1
38.0,6,13.36,2,120.3048853795201,5.6899999999999995,1.0,1
38.0,7,11.09,2,65.8244223804212,6.605,0.5,1
38.0,8,4.88,2,73.84990610220183,7.030000000000001,1.0,1
38.0,9,11.33,2,71.805,1.2149999999999999,1.0,1
39.0,10,6.55,2,60.71000000000001,5.485,1.0,1
39.0,11,4.51,1,56.99989561393947,6.52,1.0,1
39.0,14,12.58,2,120.21968536818375,5.995,0.0,0
39.0,15,12.81,3,111.88111382259075,4.973333333333334,0.6666666666666666,1
39.0,16,11.03,1,56.99989561393947,6.52,1.0,1
39.0,17,9.55,1,143.2457472318114,1.709999999999999,1.0,1
39.0,18,5.7,1,118.15334146777225,7.11,0.0,0
39.0,19,1.52,2,75.16990340122234,10.595,0.5,1
39.0,2,13.44,1,10.990454949636984,8.43,1.0,1
39.0,3,5.01,1,10.990454949636984,8.43,1.0,1
39.0,5,10.25,2,75.30822616752765,3.12,1.0,1
39.0,6,13.58,2,110.27492951812364,4.785,1.0,1
39.0,7,11.65,2,78.66978196696141,5.53,0.5,1
39.0,8,7.34,2,69.22670335059598,4.575,1.0,1
39.0,9,11.26,3,96.67191574393716,2.6566666666666667,1.0,1
40.0,10,3.56,2,60.63812625758516,8.204999999999998,1.0,1
40.0,11,2.67,1,71.2489270094645,9.12,1.0,1
40.0,14,12.91,2,134.96807979512067,5.090000000000001,0.0,0
40.0,15,11.85,3,115.42058871058079,4.26,0.6666666666666666,1
40.0,16,11.79,1,71.2489270094645,9.12,1.0,1
40.0,17,11.14,1,120.43252094015136,0.5399999999999991,1.0,1
40.0,18,7.53,1,137.50723944578334,4.319999999999999,0.0,0
40.0,19,3.86,2,85.7264255866962,8.485,0.5,1
40.0,2,13.58,1,18.985997471821207,6.28,1.0,1
40.0,3,7.3,1,18.985997471821207,6.28,1.0,1
40.0,5,10.83,2,73.23852419938444,2.5299999999999994,1.0,1
40.0,6,14.12,2,101.75513925839567,4.174999999999999,1.0,1
40.0,7,11.78,2,90.78165420842448,4.525,0.5,1
40.0,8,9.06,2,64.54661505901123,3.414999999999999,1.0,1
40.0,9,11.68,3,91.82474892312086,2.943333333333333,1.0,1
41.0,10,3.5,3,88.14967828213014,8.209999999999999,1.0,1
41.0,11,3.49,1,81.93006102768386,7.93,1.0,1
41.0,14,13.75,1,144.23513302936982,7.77,0.0,0
41.0,15,11.94,2,97.24961114660532,4.595,1.0,1
41.0,16,11.42,1,81.93006102768386,7.93,1.0,1
41.0,17,12.0,2,120.51133031599237,4.655,1.0,1
41.0,19,5.98,2,95.48756651468491,6.484999999999999,0.5,1
41.0,2,12.87,1,32.53494275390695,3.2299999999999986,1.0,1
41.0,3,9.64,1,32.53494275390695,3.2299999999999986,1.0,1
41.0,5,11.12,2,71.90595254937006,1.3049999999999997,1.0,1
41.0,6,13.67,2,96.44955095335561,2.58,1.0,1
41.0,7,11.18,1,46.74000000000001,5.199999999999999,1.0,1
41.0,8,11.06,2,60.64359840398554,1.334999999999999,1.0,1
41.0,9,11.19,3,88.14415772838818,3.0833333333333335,1.0,1
42.0,10,4.82,3,85.28719998883153,7.233333333333333,0.6666666666666666,1
42.0,11,2.59,1,91.30000000000001,9.34,1.0,1
42.0,15,12.33,2,88.2200426335827,4.235,1.0,1
42.0,16,11.93,1,91.30000000000001,9.34,1.0,1
42.0,17,12.46,2,104.77987981731658,4.365000000000001,1.0,1
42.0,19,8.15,1,50.42999999999999,3.6899999999999995,1.0,1
42.0,2,14.03,2,48.345115609519084,7.93,1.0,1
42.0,20,0.0,2,27.87743068111116,13.114999999999998,1.0,1
42.0,21,0.0,1,125.29,10.38,1.0,1
42.0,3,12.2,2,29.247684928408006,7.015,1.0,1
42.0,5,10.38,3,88.7161858166,5.336666666666666,1.0,1
42.0,6,13.39,2,94.67018708476925,1.7000000000000002,1.0,1
42.0,7,11.84,1,50.42999999999999,3.6899999999999995,1.0,1
